dataset,classifier,method,gmean,worst_recall,balanced_accuracy,macro_f1
balance,cart,gpmr_full,0.5863643898086471,0.3835708812260536,0.6346013309134907,0.6125427682789878
balance,cart,within_class_mass_permutation,0.3829819795249717,0.20665900383141764,0.583005444646098,0.5809369643993084
balance,knn,gpmr_full,0.723531601640059,0.6397205081669691,0.7300266182698125,0.6360966436144306
balance,knn,within_class_mass_permutation,0.6076032020053511,0.46124904214559387,0.6272911205216105,0.5918309281866303
balance,rf,gpmr_full,0.5396151628462789,0.3107662835249042,0.6321193789070376,0.6196784011934063
balance,rf,within_class_mass_permutation,0.26609341825912014,0.13841379310344826,0.5844561403508771,0.5869924847186307
car,cart,gpmr_full,0.932037736644819,0.8686702770913297,0.933438678546334,0.8962379040004307
car,cart,within_class_mass_permutation,0.9384695600933722,0.8892489328852965,0.9394665382464426,0.919588214036195
car,knn,gpmr_full,0.6648196856915252,0.5212696394514577,0.6757949586298869,0.4809230181283491
car,knn,within_class_mass_permutation,0.6845265360978785,0.5581273272182363,0.692680567040615,0.5013376556236896
car,rf,gpmr_full,0.9191775977227721,0.8290418672236853,0.9217851526463967,0.8636280631386516
car,rf,within_class_mass_permutation,0.9381130495430022,0.8724366542548361,0.9396205469171978,0.8985519841788198
cleveland,cart,gpmr_full,0.07287340026101159,0.032467532467532464,0.284119264069264,0.26692491299896287
cleveland,cart,within_class_mass_permutation,0.08794185425375184,0.05152380952380952,0.2872775974025974,0.27639564856052423
cleveland,knn,gpmr_full,0.1332386765553381,0.05623376623376623,0.34348430735930735,0.319352300751347
cleveland,knn,within_class_mass_permutation,0.07760660541551603,0.03516883116883117,0.32628625541125544,0.30521805674161695
cleveland,rf,gpmr_full,0.08292533585980237,0.03922077922077922,0.33763658008658004,0.32235295620130633
cleveland,rf,within_class_mass_permutation,0.06626043669999329,0.03194805194805195,0.32362088744588746,0.31544613269903166
contraceptive,cart,gpmr_full,0.47084744913847404,0.4115894872969145,0.4749148170174204,0.4702537860811084
contraceptive,cart,within_class_mass_permutation,0.45517693009155624,0.3870035038205891,0.4613094859378443,0.4580260496277738
contraceptive,knn,gpmr_full,0.46634890533178364,0.3858519848068677,0.4741399109300614,0.4558178212081156
contraceptive,knn,within_class_mass_permutation,0.4572816406033008,0.3631043485355307,0.46668140846429895,0.45004215179171114
contraceptive,rf,gpmr_full,0.5125315404369745,0.4509536757754834,0.5162059320337878,0.512431044078823
contraceptive,rf,within_class_mass_permutation,0.500656639005705,0.4276154140701478,0.5061159231631364,0.5041816531334938
dermatology,cart,gpmr_full,0.934608267097924,0.7876219336219336,0.940365110734676,0.935182607214902
dermatology,cart,within_class_mass_permutation,0.9337546679072649,0.7786378066378066,0.93953014618232,0.9354620664606383
dermatology,knn,gpmr_full,0.9505119233618301,0.8036666666666666,0.9542936821632473,0.9496467668237202
dermatology,knn,within_class_mass_permutation,0.9471228161228964,0.8007676767676767,0.950913210782776,0.9456181703346235
dermatology,rf,gpmr_full,0.9692608077274903,0.8588888888888888,0.9715,0.9694878160383484
dermatology,rf,within_class_mass_permutation,0.9688524250763386,0.8648686868686869,0.9708451178451178,0.9688749904195331
dry-bean,cart,gpmr_full,0.910732528228469,0.8342060970287712,0.9120133800609966,0.9095296287841582
dry-bean,cart,within_class_mass_permutation,0.9071520755412504,0.8245450951641654,0.9086452836144586,0.9062413955331536
dry-bean,knn,gpmr_full,0.9320256432758524,0.8822481723606319,0.9327550788040054,0.9313002684645656
dry-bean,knn,within_class_mass_permutation,0.9310271890892264,0.8711508852922388,0.9318915634809462,0.93105428586512
