dataset,method,gmean,worst_recall,balanced_accuracy,macro_f1
balance,gpmr_full,0.6165037180983283,0.44468589097264233,0.6655824426967802,0.6227726043622749
balance,within_class_mass_permutation,0.418892866596481,0.2687739463601533,0.5982509018395286,0.5865867924348565
car,gpmr_full,0.8386783400197054,0.7396605945888242,0.8436729299408725,0.7469296617558104
car,within_class_mass_permutation,0.8537030485780844,0.7732709714527896,0.8572558840680852,0.7731592846129014
cleveland,gpmr_full,0.09634580422538402,0.04264069264069264,0.32174671717171716,0.3028767233172054
cleveland,within_class_mass_permutation,0.07726963212308706,0.039546897546897546,0.31239491341991343,0.29901994600039095
contraceptive,gpmr_full,0.48324263163574405,0.41613171595975523,0.48842021999375657,0.479500883789349
contraceptive,within_class_mass_permutation,0.4710384032335207,0.3925744221420892,0.4780356058550932,0.4707499515176596
dermatology,gpmr_full,0.9514603327290815,0.8167258297258296,0.9553862642993077,0.9514390633589902
dermatology,within_class_mass_permutation,0.9499099697021666,0.8147580567580567,0.9537628249367379,0.949985075738265
dry-bean,gpmr_full,0.9247049784996483,0.8631541850313829,0.9256467286103532,0.9240638253108105
dry-bean,within_class_mass_permutation,0.9236406777245083,0.8559428683839592,0.9246951900393438,0.9234736214373697
flare,gpmr_full,0.5009605611335182,0.20611349591472772,0.6230212853212196,0.6060389881154847
flare,within_class_mass_permutation,0.4524144219200414,0.17795067603998174,0.6179773422361206,0.6052657794389495
hayes-roth,gpmr_full,0.7258797680244794,0.5691880341880342,0.747045177045177,0.7430376529292674
hayes-roth,within_class_mass_permutation,0.7183124210251416,0.5787179487179487,0.7386324786324786,0.7421120285679796
led7digit,gpmr_full,0.6807026903486513,0.4181043771043771,0.7028471861471862,0.6966909793442807
led7digit,within_class_mass_permutation,0.6769422956015259,0.4084175084175084,0.7003118326118326,0.6938383106988031
pageblocks-full,gpmr_full,0.9055680426854212,0.8018368656803171,0.9088824755205341,0.7413786323293053
pageblocks-full,within_class_mass_permutation,0.9145667863543826,0.825500469701521,0.9171802811312029,0.7175006721515257
statlog-landsat,gpmr_full,0.8676880809015416,0.7111523622101782,0.8730994682079815,0.8615672285129872
statlog-landsat,within_class_mass_permutation,0.8671717657623358,0.7068588053316299,0.8726703795458185,0.8643335103750447
thyroid,gpmr_full,0.8444986538564078,0.7614874562026958,0.8582161872342549,0.7692930517522876
thyroid,within_class_mass_permutation,0.8463418888577591,0.7495147383383832,0.8625518813617793,0.7836599821017676
vehicle,gpmr_full,0.6906462196415638,0.46781855095808583,0.7261809459919926,0.7201553382515402
vehicle,within_class_mass_permutation,0.6912532536740619,0.46879291251384275,0.7260165061037154,0.7202739273169835
wine,gpmr_full,0.9551345215428949,0.8983477633477633,0.9570602853936188,0.9532070813367745
wine,within_class_mass_permutation,0.9535158783348692,0.8932481962481962,0.955630912297579,0.9519524093158737
winequality-red,gpmr_full,0.14752527115157682,0.08489110842678756,0.3747930215911411,0.2711172677637703
winequality-red,within_class_mass_permutation,0.12248527400782801,0.07686703746275597,0.36366600371828434,0.27399117345237844
