dataset,classifier,method,gmean,gmean_std,worst_recall,balanced_accuracy,macro_f1,rank
balance,cart,allknn,0.5656991990582912,0.122976877206055,0.3621520467836257,0.619928076897224,0.6041309260981478,4.0
balance,cart,borderline_smote,0.0839423815541712,0.1701907633872086,0.0226666666666666,0.5688158903004638,0.5753564764254967,11.0
balance,cart,global_cs,0.0836682118882581,0.1691067735119868,0.0206666666666666,0.5746505343819318,0.5809735746001181,12.0
balance,cart,gmm_sampling,0.5379543368125858,0.1241592662426307,0.3199693486590038,0.6060482624184984,0.5938066770247459,6.0
balance,cart,gpmr_v3,0.5863643898086471,0.1017603623467206,0.3835708812260536,0.6346013309134907,0.6125427682789878,2.0
balance,cart,kde_reconstructed,0.0996640007874964,0.1791895103470183,0.0248888888888888,0.5670278954090207,0.5766103767281432,10.0
balance,cart,mc_ccr,0.1095324131570661,0.1867463916145504,0.0273333333333333,0.5721258318209316,0.5810827362520619,8.0
balance,cart,mdo,0.0743650687518832,0.160388674402901,0.0184444444444444,0.5703465752503865,0.5785522534672142,13.0
balance,cart,none,0.0581736791680363,0.1456656769868151,0.0144444444444444,0.5700537742824494,0.5784717631827957,14.0
balance,cart,ros,0.0423747576800898,0.128424413309408,0.0104444444444444,0.5683352826510721,0.5759400398312993,15.0
balance,cart,rus,0.5574954665262677,0.0781852839143878,0.405711635410365,0.5820227196343349,0.5605684233947518,5.0
balance,cart,smote,0.1187193244794224,0.1927501928238739,0.0306666666666666,0.570224238757814,0.5787110654407148,7.0
balance,cart,soup,0.6065651506300401,0.063372502336466,0.4579806412583182,0.6275388855279962,0.5923519884120824,1.0
balance,knn,allknn,0.7057383701943436,0.0944380910301479,0.4697777777777778,0.7478509108019089,0.7272979338820852,2.0
balance,knn,borderline_smote,0.3262953852268249,0.2123906182011942,0.1166666666666666,0.5636902601330913,0.576463712652604,10.0
balance,knn,global_cs,0.1357950046762441,0.2031801540854569,0.0488888888888888,0.5192001075485648,0.5473897967612433,13.0
balance,knn,gmm_sampling,0.6997382815355493,0.0524545967672346,0.6060508166969147,0.7068728910398602,0.6220710119046098,3.0
balance,knn,gpmr_v3,0.723531601640059,0.0489857052147138,0.6397205081669691,0.7300266182698125,0.6360966436144306,1.0
balance,knn,kde_reconstructed,0.6065515558061497,0.0811566363560445,0.4104750957854406,0.6415564966054984,0.6190097100039117,7.0
balance,knn,mc_ccr,0.2457570304111864,0.22579339189981,0.0957777777777777,0.5210608321570208,0.5481754842902589,11.0
balance,knn,mdo,0.0627985050963066,0.1580815893550373,0.0162222222222222,0.603503797808698,0.5972052346177918,14.0
balance,knn,none,0.0627384719536201,0.1579366098059271,0.0162222222222222,0.6037356994017611,0.5971796623167311,15.0
balance,knn,ros,0.1441835453175097,0.2061424609054541,0.0508888888888888,0.5227625193251327,0.5496797929225449,12.0
balance,knn,rus,0.6938241767789222,0.0478566576892419,0.6028247630570679,0.7023137729380923,0.6056280767535607,5.0
balance,knn,smote,0.3551406136233255,0.2127373609278174,0.1446666666666666,0.5610998185117968,0.5744120213556082,9.0
balance,knn,soup,0.6977513339613199,0.0385736034797201,0.5964150030248034,0.708810512872219,0.6059824488093889,4.0
balance,rf,allknn,0.5188978539681467,0.1406658629682068,0.2528888888888889,0.626566915372723,0.6218296246434161,5.0
balance,rf,borderline_smote,0.0086507253702235,0.0611698657146758,0.0022222222222222,0.5945237615110573,0.5941749965763106,8.0
balance,rf,global_cs,0.0,0.0,0.0,0.5812744504940511,0.5887088522204527,12.0
balance,rf,gmm_sampling,0.4684997342697161,0.1417218922279446,0.2022222222222222,0.5981051287221886,0.6011705121762401,6.0
balance,rf,gpmr_v3,0.5396151628462789,0.1490945941548459,0.3107662835249042,0.6321193789070376,0.6196784011934063,4.0
balance,rf,kde_reconstructed,0.0,0.0,0.0,0.5966646501310748,0.5959058224727916,12.0
balance,rf,mc_ccr,0.0,0.0,0.0,0.598515829804396,0.5976286120554374,12.0
balance,rf,mdo,0.0,0.0,0.0,0.6026819923371647,0.5981036412704344,12.0
balance,rf,none,0.0,0.0,0.0,0.6016434765073604,0.5977028476518409,12.0
balance,rf,ros,0.0,0.0,0.0,0.5823089332526719,0.5894740394291825,12.0
balance,rf,rus,0.5806667557659473,0.0722866720047328,0.4413748739665255,0.5990067890031593,0.5745059461021477,2.0
balance,rf,smote,0.0087091779904311,0.0615831881559449,0.0022222222222222,0.5907931706661289,0.5923866805793466,7.0
balance,rf,soup,0.649771374185064,0.0579021779161424,0.5492070982052834,0.6595884923035559,0.5994727595354629,1.0
car,cart,allknn,0.1898333053286333,0.2093364286147976,0.0823132131026867,0.4777699214660937,0.4547192714946116,15.0
car,cart,borderline_smote,0.9373411137590184,0.0329300279063619,0.8670455859929543,0.93924157780019,0.9438035946558452,4.0
car,cart,global_cs,0.933456303552826,0.0338486511021209,0.8595257374204743,0.9354885425579204,0.9409656250919406,9.0
car,cart,gmm_sampling,0.937161336808175,0.0432359407724995,0.859638543274907,0.9405776340883996,0.9254969595818836,5.0
car,cart,gpmr_v3,0.932037736644819,0.0267300164313997,0.8686702770913297,0.933438678546334,0.8962379040004307,10.0
car,cart,kde_reconstructed,0.9273710492185,0.0391409108667277,0.8323203112676797,0.9307362195221048,0.9308523060387872,11.0
car,cart,mc_ccr,0.9376004933144352,0.0326071963224863,0.8691132551658868,0.9393015596843348,0.9448226806751824,3.0
car,cart,mdo,0.934225851631529,0.0355671057004121,0.8503396603396604,0.936755104942904,0.9376312116340968,7.0
car,cart,none,0.93671149849576,0.0336872942363767,0.8529254955570745,0.939322913928177,0.9416772663929592,6.0
car,cart,ros,0.9389833696924876,0.0328595813723814,0.862946001367054,0.9410468598387258,0.9443495931769929,2.0
car,cart,rus,0.8927989202593264,0.0330494702231363,0.7770002007561816,0.8977565436955389,0.8124718448478102,14.0
car,cart,smote,0.9335310604082084,0.0376056439361348,0.8659795467690204,0.9354719144491872,0.9408309819720944,8.0
car,cart,soup,0.9106401099814077,0.0233165387349749,0.8299479467900521,0.9133697642070848,0.821893319779724,13.0
car,knn,allknn,0.0123142692379263,0.0499300770187085,0.004005994005994,0.3118586497234822,0.2968042054765604,15.0
car,knn,borderline_smote,0.669264118441329,0.0530508792646807,0.5417361585782638,0.6788818776916863,0.5566771245995926,4.0
car,knn,global_cs,0.4762765322715826,0.2329129159611983,0.3113395695213877,0.5628637032823636,0.4637808257597812,11.0
car,knn,gmm_sampling,0.8904419327307955,0.0306291140352504,0.8129820418815634,0.8931070066297339,0.763865237891967,1.0
car,knn,gpmr_v3,0.6648196856915252,0.0493850240263644,0.5212696394514577,0.6757949586298869,0.4809230181283491,6.0
car,knn,kde_reconstructed,0.3379665519139747,0.1887163872276841,0.1238461538461538,0.5287992211138144,0.543533358836741,13.0
car,knn,mc_ccr,0.5786425725776447,0.1635652164471823,0.432929797475252,0.6144679602693957,0.4869831262381852,8.0
car,knn,mdo,0.667174176141663,0.1428921336753077,0.4900725590199274,0.7037355288252418,0.6869535982193365,5.0
car,knn,none,0.2517327586816,0.1958096594171838,0.0764835164835164,0.507704890802977,0.5231356768887568,14.0
car,knn,ros,0.5169312227776908,0.2157104317835464,0.3472736354554536,0.5854469095497804,0.4913345014686437,10.0
car,knn,rus,0.6753197235720517,0.0388754693961643,0.4984111582197706,0.6964027957688245,0.46226838461572,3.0
car,knn,smote,0.6555022245223695,0.0576798139968628,0.5428981544771019,0.6630291538604937,0.5349771410083412,7.0
car,knn,soup,0.5364336971365903,0.0994877447410742,0.4140680133263865,0.5518073851985335,0.3905117928244472,9.0
car,rf,allknn,0.0591558797417215,0.1332732869846762,0.0226775855723224,0.3987937242183653,0.3933472433483203,15.0
car,rf,borderline_smote,0.940763485346,0.0235230082428147,0.8475279266188358,0.9431675860025142,0.9296079595765372,4.0
car,rf,global_cs,0.9426754971340954,0.026026612690564,0.8639396966669695,0.944557906208624,0.9301586232905836,3.0
car,rf,gmm_sampling,0.9142093801529008,0.0325043298601441,0.819212605576242,0.9173071904172384,0.8952577689339756,9.0
car,rf,gpmr_v3,0.919177597722772,0.0228954067105438,0.8290418672236853,0.9217851526463968,0.8636280631386516,8.0
car,rf,kde_reconstructed,0.9289311628086008,0.0303994274979696,0.8342157842157841,0.931881563412664,0.9178160726814062,7.0
