dataset,mean_gmean,mean_worst_recall,mean_rank,first_blocks,top3_blocks
balance,0.6165037180983283,0.44468589097264233,2.0,1,3
car,0.8386783400197054,0.7396605945888242,7.0,0,0
cleveland,0.09634580422538397,0.0426406926406926,1.6666666666666667,1,3
contraceptive,0.48324263163574405,0.41613171595975523,1.3333333333333333,2,3
dermatology,0.9514603327290815,0.8167258297258296,6.0,0,0
dry-bean,0.9246231503520997,0.863141534810004,5.0,0,2
flare,0.5009605611335182,0.2061134959147277,3.3333333333333335,1,1
hayes-roth,0.7258797680244794,0.5691880341880341,7.666666666666667,1,1
led7digit,0.6807026903486513,0.4181043771043771,3.6666666666666665,2,2
pageblocks-full,0.9055680426854215,0.8018368656803171,3.0,1,2
statlog-landsat,0.8676880809015416,0.7111523622101782,3.6666666666666665,1,1
thyroid,0.8444986538564078,0.7614874562026958,2.0,1,3
vehicle,0.6906462196415638,0.46781855095808583,7.333333333333333,1,1
wine,0.9551345215428948,0.8983477633477633,6.666666666666667,0,0
winequality-red,0.14752527115157676,0.08489110842678749,2.3333333333333335,1,3
