baseline,wins,ties,losses,mean_delta,pvalue_unadjusted,pvalue_holm,significant_0_05
allknn,41,0,4,0.18427180575643506,2.829665390891023e-10,3.961531547247432e-09,True
none,34,0,11,0.09829866639610732,5.331749548531661e-07,6.93127441309116e-06,True
kde_reconstructed,35,0,10,0.0676707204634912,6.777742100894102e-07,8.133290521072922e-06,True
mdo,32,0,13,0.08142843668422185,6.994876571297937e-06,7.69436422842773e-05,True
global_cs,34,0,11,0.0664498642791965,1.736319745759829e-05,0.0001736319745759829,True
borderline_smote,33,0,12,0.057812355612394305,2.6757039563563012e-05,0.0002408133560720671,True
mc_ccr,33,0,12,0.07079573200210768,3.019834014139633e-05,0.00024158672113117063,True
mc_mbrc_reconstructed,29,0,16,0.09412182444250412,3.833805016029146e-05,0.0002683663511220402,True
ros,31,0,14,0.06484135824774596,0.0001187248984138023,0.0007123493904828138,True
smote,29,0,16,0.05334253863093334,0.0003685130175767881,0.0018425650878839406,True
gmm_sampling,32,0,13,0.016947648195591174,0.0016647115930936707,0.006658846372374683,True
gdhs_lc_official,27,0,18,0.02798636106403154,0.0025234905002662344,0.007570471500798703,True
soup,32,0,13,0.013051460138809656,0.002736544115293782,0.007570471500798703,True
rus,31,0,14,0.02388566180572874,0.01673688206335555,0.01673688206335555,True
