baseline,wins,ties,losses,mean_delta,pvalue_unadjusted,pvalue_holm,significant_0_05
allknn,13,0,2,0.18427180575643504,0.00030517578125,0.0042724609375,True
none,13,0,2,0.09829866639610732,0.00042724609375,0.00555419921875,True
ros,13,0,2,0.06484135824774596,0.00115966796875,0.013916015625,True
kde_reconstructed,12,0,3,0.06767072046349121,0.00115966796875,0.013916015625,True
global_cs,12,0,3,0.06644986427919644,0.00335693359375,0.0335693359375,True
rus,13,0,2,0.023885661805728747,0.00537109375,0.04833984375,True
mdo,12,0,3,0.08142843668422187,0.0067138671875,0.0537109375,False
gmm_sampling,14,0,1,0.01694764819559117,0.00836181640625,0.05853271484375,False
borderline_smote,11,0,4,0.057812355612394284,0.01507568359375,0.0615234375,False
mc_mbrc_reconstructed,11,0,4,0.09412182444250412,0.01025390625,0.0615234375,False
mc_ccr,11,0,4,0.07079573200210766,0.01025390625,0.0615234375,False
gdhs_lc_official,11,0,4,0.027986361064031542,0.02154541015625,0.06463623046875,False
smote,10,0,5,0.05334253863093336,0.03533935546875,0.0706787109375,False
soup,11,0,4,0.013051460138809645,0.072998046875,0.072998046875,False
