baseline,wins,ties,losses,mean_delta,wilcoxon_statistic,pvalue_unadjusted,pvalue_holm,significant_0_05
allknn,41,0,4,0.18427180575643506,36.0,2.829665390891023e-10,3.3955984690692276e-09,True
none,34,0,11,0.09829866639610732,108.0,5.331749548531661e-07,5.864924503384827e-06,True
kde_reconstructed,35,0,10,0.0676707204634912,111.0,6.777742100894102e-07,6.777742100894102e-06,True
mdo,32,0,13,0.08142843668422185,143.0,6.994876571297937e-06,6.295388914168143e-05,True
global_cs,34,0,11,0.0664498642791965,157.0,1.736319745759829e-05,0.00013890557966078632,True
borderline_smote,33,0,12,0.057812355612394305,164.0,2.6757039563563012e-05,0.00018729927694494108,True
mc_ccr,33,0,12,0.07079573200210768,166.0,3.019834014139633e-05,0.00018729927694494108,True
ros,31,0,14,0.06484135824774596,190.0,0.0001187248984138023,0.0005936244920690115,True
smote,29,0,16,0.05334253863093334,212.0,0.0003685130175767881,0.0014740520703071525,True
gmm_sampling,32,0,13,0.016947648195591174,245.0,0.0016647115930936707,0.004994134779281012,True
soup,32,0,13,0.013051460138809656,257.0,0.002736544115293782,0.005473088230587564,True
rus,31,0,14,0.02388566180572874,307.0,0.01673688206335555,0.01673688206335555,True
