method,mean_gmean,mean_worst_recall,mean_rank,first_blocks,top3_blocks
gpmr_v3,0.6819638524230932,0.549461751515381,4.177777777777778,13,25
smote,0.6286213137921599,0.5001867539800463,5.655555555555556,1,8
soup,0.6689123922842836,0.5453641580811032,5.666666666666667,5,21
gmm_sampling,0.665016204227502,0.5310165906978149,6.111111111111111,4,10
rus,0.6580781906173645,0.5286944132148654,6.666666666666667,4,16
mc_ccr,0.6111681204209856,0.4848142178764439,6.688888888888889,4,8
borderline_smote,0.6241514968106989,0.49460588587026855,6.711111111111111,1,12
ros,0.6171224941753473,0.48777158304108637,7.344444444444444,3,8
kde_reconstructed,0.614293131959602,0.4789920378456538,7.4,1,4
global_cs,0.6155139881438967,0.48558465780060894,7.7444444444444445,1,5
mdo,0.6005354157388714,0.46162112793708293,7.911111111111111,2,7
none,0.5836651860269859,0.45473938555411214,8.733333333333333,2,5
allknn,0.49769204666665817,0.36084141855390484,10.188888888888888,3,5
